customer_id,age,job,marital,education,default_status,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,contact_known
64119,44,technician,single,secondary,no,29,yes,no,unknown,5,may,151,1,0,0,unknown,no,0
63196,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,5,may,76,1,0,0,unknown,no,0
60480,33,other,single,secondary,no,1,no,no,unknown,5,may,198,1,0,0,unknown,no,0
55972,35,management,married,tertiary,no,231,yes,no,unknown,5,may,139,1,0,0,unknown,no,0
94918,28,management,single,tertiary,no,447,yes,yes,unknown,5,may,217,1,0,0,unknown,no,0
98295,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,0,0,unknown,no,0
28082,41,admin,divorced,secondary,no,270,yes,no,unknown,5,may,222,1,0,0,unknown,no,0
12486,29,admin,single,secondary,no,390,yes,no,unknown,5,may,137,1,0,0,unknown,no,0
33728,58,technician,married,secondary,no,71,yes,no,unknown,5,may,71,1,0,0,unknown,no,0
14388,57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,0,0,unknown,no,0
69075,51,retired,married,primary,no,229,yes,no,unknown,5,may,353,1,0,0,unknown,no,0
28709,45,admin,single,secondary,no,13,yes,no,unknown,5,may,98,1,0,0,unknown,no,0
12882,60,retired,married,primary,no,60,yes,no,unknown,5,may,219,1,0,0,unknown,no,0
30919,28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,may,262,1,0,0,unknown,no,0
34060,56,management,married,tertiary,no,779,yes,no,unknown,5,may,164,1,0,0,unknown,no,0
35845,32,blue-collar,single,primary,no,23,yes,yes,unknown,5,may,160,1,0,0,unknown,no,0
48833,25,services,married,secondary,no,50,yes,no,unknown,5,may,342,1,0,0,unknown,no,0
43039,40,retired,married,primary,no,0,yes,yes,unknown,5,may,181,1,0,0,unknown,no,0
35651,39,management,single,tertiary,no,255,yes,no,unknown,5,may,296,1,0,0,unknown,no,0
71923,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,5,may,127,1,0,0,unknown,no,0
47645,46,management,single,secondary,no,-246,yes,no,unknown,5,may,255,2,0,0,unknown,no,0
21694,36,technician,single,secondary,no,265,yes,yes,unknown,5,may,348,1,0,0,unknown,no,0
74856,57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,0,0,unknown,no,0
74602,49,management,married,tertiary,no,378,yes,no,unknown,5,may,230,1,0,0,unknown,no,0
58610,60,admin,married,secondary,no,39,yes,yes,unknown,5,may,208,1,0,0,unknown,no,0
31267,59,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,226,1,0,0,unknown,no,0
23477,57,technician,divorced,secondary,no,63,yes,no,unknown,5,may,242,1,0,0,unknown,no,0
10442,25,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,365,1,0,0,unknown,no,0
87432,37,admin,single,secondary,no,0,yes,no,unknown,5,may,137,1,0,0,unknown,no,0
23057,50,management,married,secondary,no,49,yes,no,unknown,5,may,180,2,0,0,unknown,no,0
20092,36,admin,single,primary,no,-171,yes,no,unknown,5,may,242,1,0,0,unknown,no,0
78886,44,technician,married,secondary,no,0,yes,no,unknown,5,may,225,2,0,0,unknown,no,0
54774,55,technician,divorced,secondary,no,0,no,no,unknown,5,may,160,1,0,0,unknown,no,0
81937,29,management,single,tertiary,no,0,yes,no,unknown,5,may,363,1,0,0,unknown,no,0
11364,54,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,266,1,0,0,unknown,no,0
58266,48,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,253,1,0,0,unknown,no,0
35061,32,management,married,tertiary,no,0,yes,no,unknown,5,may,179,1,0,0,unknown,no,0
80069,24,technician,single,secondary,no,-103,yes,yes,unknown,5,may,145,1,0,0,unknown,no,0
37279,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,174,1,0,0,unknown,no,0
83454,38,management,single,tertiary,no,424,yes,no,unknown,5,may,104,1,0,0,unknown,no,0
10446,40,blue-collar,single,secondary,no,24,yes,no,unknown,5,may,185,1,0,0,unknown,no,0
80722,32,admin,married,tertiary,no,0,yes,no,unknown,5,may,138,1,0,0,unknown,no,0
71383,57,blue-collar,married,primary,no,249,yes,no,unknown,5,may,164,1,0,0,unknown,no,0
89406,33,services,married,secondary,no,790,yes,no,unknown,5,may,391,1,0,0,unknown,no,0
71508,49,blue-collar,married,secondary,no,154,yes,no,unknown,5,may,357,1,0,0,unknown,no,0
23439,59,management,divorced,tertiary,no,59,yes,no,unknown,5,may,273,1,0,0,unknown,no,0
44630,55,technician,married,secondary,no,1205,yes,no,unknown,5,may,158,2,0,0,unknown,no,0
20715,31,services,married,secondary,no,25,yes,yes,unknown,5,may,172,1,0,0,unknown,no,0
40637,54,management,married,secondary,no,282,yes,yes,unknown,5,may,154,1,0,0,unknown,no,0
53526,55,blue-collar,married,primary,no,23,yes,no,unknown,5,may,291,1,0,0,unknown,no,0
42734,53,technician,married,secondary,no,384,yes,no,unknown,5,may,176,1,0,0,unknown,no,0
54734,44,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,211,1,0,0,unknown,no,0
45412,55,services,divorced,secondary,no,91,no,no,unknown,5,may,349,1,0,0,unknown,no,0
34313,49,services,divorced,secondary,no,0,yes,yes,unknown,5,may,272,1,0,0,unknown,no,0
94114,55,services,divorced,secondary,yes,1,yes,no,unknown,5,may,208,1,0,0,unknown,no,0
45440,45,admin,single,secondary,no,206,yes,no,unknown,5,may,193,1,0,0,unknown,no,0
60868,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,0,0,unknown,no,0
18948,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,0,0,unknown,no,0
72640,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,0,0,unknown,no,0
52470,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,0,0,unknown,no,0
85835,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,0,0,unknown,no,0
69554,60,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,221,1,0,0,unknown,no,0
23748,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,0,0,unknown,no,0
76776,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,0,0,unknown,no,0
72280,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,0,0,unknown,no,0
41779,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,0,0,unknown,no,0
97327,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,0,0,unknown,no,0
57771,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,0,0,unknown,no,0
94968,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,0,0,unknown,no,0
48485,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,0,0,unknown,no,0
37617,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,0,0,unknown,no,0
84360,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,0,0,unknown,no,0
88681,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,0,0,unknown,no,0
82149,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,0,0,unknown,no,0
25876,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,0,0,unknown,no,0
94313,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,0,0,unknown,no,0
49468,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,0,0,unknown,no,0
55824,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,0,0,unknown,no,0
46333,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,0,0,unknown,no,0
67864,33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,0,0,unknown,no,0
77107,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,0,0,unknown,no,0
13880,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,0,0,unknown,no,0
18192,56,technician,divorced,secondary,no,56,yes,no,unknown,5,may,439,1,0,0,unknown,no,0
10855,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,0,0,unknown,no,0
48828,34,admin,married,secondary,no,3,yes,no,unknown,5,may,120,3,0,0,unknown,no,0
63696,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,0,0,unknown,no,0
38845,52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,0,0,unknown,no,0
24172,33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,0,0,unknown,no,0
74602,29,admin,single,secondary,no,818,yes,yes,unknown,5,may,61,1,0,0,unknown,no,0
83098,34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,0,0,unknown,no,0
52645,31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,0,0,unknown,no,0
65830,32,admin,single,secondary,no,217,yes,no,unknown,5,may,345,1,0,0,unknown,no,0
35304,55,admin,single,secondary,no,802,yes,yes,unknown,5,may,100,2,0,0,unknown,no,0
94120,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,0,0,unknown,no,0
34147,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,0,0,unknown,no,0
53918,32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,0,0,unknown,no,0
83355,43,services,single,secondary,no,0,no,no,unknown,5,may,73,1,0,0,unknown,no,0
81117,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,0,0,unknown,no,0
86410,34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,0,0,unknown,no,0
36322,37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,0,0,unknown,no,0
79058,59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,0,0,unknown,no,0
19472,33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,0,0,unknown,no,0
19915,56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,0,0,unknown,no,0
30195,48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,0,0,unknown,no,0
99899,43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,0,0,unknown,no,0
28290,51,blue-collar,married,secondary,no,-19,yes,no,unknown,5,may,163,2,0,0,unknown,no,0
79135,39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,0,0,unknown,no,0
70964,50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,0,0,unknown,no,0
63348,41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,0,0,unknown,no,0
83130,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,0,0,unknown,no,0
43334,52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,0,0,unknown,no,0
71894,48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,0,0,unknown,no,0
44160,39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,0,0,unknown,no,0
51471,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,0,0,unknown,no,0
36246,45,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,0,0,unknown,no,0
48060,26,admin,single,secondary,no,82,yes,no,unknown,5,may,228,1,0,0,unknown,no,0
47028,52,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,0,0,unknown,no,0
40671,54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,0,0,unknown,no,0
30341,50,blue-collar,married,primary,no,0,no,no,unknown,5,may,233,3,0,0,unknown,no,0
22191,44,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,0,0,unknown,no,0
76121,53,entrepreneur,married,secondary,no,19,yes,no,unknown,5,may,252,1,0,0,unknown,no,0
96491,35,retired,single,primary,no,434,no,no,unknown,5,may,138,1,0,0,unknown,no,0
94627,60,admin,divorced,secondary,no,92,yes,no,unknown,5,may,130,1,0,0,unknown,no,0
39108,53,admin,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,0,0,unknown,no,0
29831,48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,0,0,unknown,no,0
15286,31,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,0,0,unknown,no,0
63228,38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,0,0,unknown,no,0
41502,36,admin,married,tertiary,no,211,yes,no,unknown,5,may,146,2,0,0,unknown,no,0
37275,58,retired,married,primary,no,235,yes,no,unknown,5,may,167,1,0,0,unknown,no,0
90900,34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,346,1,0,0,unknown,no,0
81093,33,management,married,tertiary,no,377,yes,no,unknown,5,may,217,1,0,0,unknown,no,0
92916,55,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,0,0,unknown,no,0
32315,42,admin,married,secondary,no,445,yes,no,unknown,5,may,67,1,0,0,unknown,no,0
13122,34,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,291,1,0,0,unknown,no,0
71237,33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,309,2,0,0,unknown,no,0
40694,38,services,married,secondary,no,155,yes,no,unknown,5,may,248,1,0,0,unknown,no,0
18644,50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,98,1,0,0,unknown,no,0
71648,43,management,married,tertiary,no,400,yes,no,unknown,5,may,256,1,0,0,unknown,no,0
81741,61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,82,2,0,0,unknown,no,0
